title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Four Christmases,Drama,2008,Gordon  Seth (I),Barber  Gary (I),Billingsley  Peter (I),88,Allen  Matt (I),Allen  Matt (I),Duvall  Robert,Vaughn  Vince (I)
Four Christmases,Romance,2008,Gordon  Seth (I),Barber  Gary (I),Billingsley  Peter (I),88,Allen  Matt (I),Allen  Matt (I),Duvall  Robert,Vaughn  Vince (I)
Baak bin sing gwan,Action,1995,Wong  Jing (I),Chen  Tiffany (I),Wong  Jing (I),92,Yip  Wai Man,?,Chow  Stephen (I),Ng  Man Tat (I)
Baak bin sing gwan,Comedy,1995,Wong  Jing (I),Chen  Tiffany (I),Wong  Jing (I),92,Yip  Wai Man,?,Chow  Stephen (I),Ng  Man Tat (I)
Baak bin sing gwan,Fantasy,1995,Wong  Jing (I),Chen  Tiffany (I),Wong  Jing (I),92,Yip  Wai Man,?,Chow  Stephen (I),Ng  Man Tat (I)
Baak bin sing gwan,Sci-Fi,1995,Wong  Jing (I),Chen  Tiffany (I),Wong  Jing (I),92,Yip  Wai Man,?,Chow  Stephen (I),Ng  Man Tat (I)
Fletch Lives,Comedy,1989,Ritchie  Michael (I),Bodner  Bruce,Douglas  Peter (II),95,Capetanos  Leon,McDonald  Gregory,Chase  Chevy,Ermey  R. Lee
Fletch Lives,Crime,1989,Ritchie  Michael (I),Bodner  Bruce,Douglas  Peter (II),95,Capetanos  Leon,McDonald  Gregory,Chase  Chevy,Ermey  R. Lee
Fletch Lives,Mystery,1989,Ritchie  Michael (I),Bodner  Bruce,Douglas  Peter (II),95,Capetanos  Leon,McDonald  Gregory,Chase  Chevy,Ermey  R. Lee
Lo scugnizzo,Action,1979,Brescia  Alfonso,Ippolito  Ciro,?,105,Brescia  Alfonso,Ippolito  Ciro,Gallo  Nunzio,Garko  Gianni
Lo scugnizzo,Comedy,1979,Brescia  Alfonso,Ippolito  Ciro,?,105,Brescia  Alfonso,Ippolito  Ciro,Gallo  Nunzio,Garko  Gianni
Lo scugnizzo,Drama,1979,Brescia  Alfonso,Ippolito  Ciro,?,105,Brescia  Alfonso,Ippolito  Ciro,Gallo  Nunzio,Garko  Gianni
Amor Estranho Amor,Drama,1982,Khouri  Walter Hugo,Adamin  Alexandre,Neto  Anibal Massaini,97,Khouri  Walter Hugo,?,Meira  Tarc?sio,?
Palermo Shooting,Drama,2008,Wenders  Wim,Barbagallo  Gianfranco,Eisele  Felix (I),108,Lange  Bernd (I),Ohler  Norman,Campino,Gutberlet  Gerhard
The World of the End,Drama,2006,Bertocci  Adam,Bertocci  Adam,?,19,Bertocci  Adam,?,Bertocci  Adam,Bertocci  Richard
The World of the End,Short,2006,Bertocci  Adam,Bertocci  Adam,?,19,Bertocci  Adam,?,Bertocci  Adam,Bertocci  Richard
Omorfes meres,Comedy,1970,Asimakopoulos  Kostas (I),Asimakopoulos  Kostas (I),?,100,Asimakopoulos  Kostas (I),?,Papagiannopoulos  Dionysis,?
Omorfes meres,Drama,1970,Asimakopoulos  Kostas (I),Asimakopoulos  Kostas (I),?,100,Asimakopoulos  Kostas (I),?,Papagiannopoulos  Dionysis,?
Omorfes meres,Musical,1970,Asimakopoulos  Kostas (I),Asimakopoulos  Kostas (I),?,100,Asimakopoulos  Kostas (I),?,Papagiannopoulos  Dionysis,?
Omorfes meres,Romance,1970,Asimakopoulos  Kostas (I),Asimakopoulos  Kostas (I),?,100,Asimakopoulos  Kostas (I),?,Papagiannopoulos  Dionysis,?
Fantozzi alla riscossa,Comedy,1990,Parenti  Neri,Altissimi  Bruno,Cecchi Gori  Mario,105,Bencivenni  Alessandro,Benvenuti  Leonardo,Fernando  Plinio,Reder  Gigi
Los galleros de Jalisco,Action,1974,Mart?nez  Arturo (I),Agras?nchez  Rogelio,?,82,Agras?nchez  Rogelio,Mart?nez  Arturo (I),Aguilar  Luis (I),Almada  Mario
Los galleros de Jalisco,Crime,1974,Mart?nez  Arturo (I),Agras?nchez  Rogelio,?,82,Agras?nchez  Rogelio,Mart?nez  Arturo (I),Aguilar  Luis (I),Almada  Mario
Los galleros de Jalisco,Drama,1974,Mart?nez  Arturo (I),Agras?nchez  Rogelio,?,82,Agras?nchez  Rogelio,Mart?nez  Arturo (I),Aguilar  Luis (I),Almada  Mario
Los galleros de Jalisco,Western,1974,Mart?nez  Arturo (I),Agras?nchez  Rogelio,?,82,Agras?nchez  Rogelio,Mart?nez  Arturo (I),Aguilar  Luis (I),Almada  Mario
A Sound of Thunder,Action,2005,Hyams  Peter,Baldwin  Howard (III),Baldwin  Karen Elise,102,Bradbury  Ray,Donnelly  Thomas Dean,Oyelowo  David,?
A Sound of Thunder,Adventure,2005,Hyams  Peter,Baldwin  Howard (III),Baldwin  Karen Elise,102,Bradbury  Ray,Donnelly  Thomas Dean,Oyelowo  David,?
A Sound of Thunder,Horror,2005,Hyams  Peter,Baldwin  Howard (III),Baldwin  Karen Elise,102,Bradbury  Ray,Donnelly  Thomas Dean,Oyelowo  David,?
A Sound of Thunder,Sci-Fi,2005,Hyams  Peter,Baldwin  Howard (III),Baldwin  Karen Elise,102,Bradbury  Ray,Donnelly  Thomas Dean,Oyelowo  David,?
A Sound of Thunder,Thriller,2005,Hyams  Peter,Baldwin  Howard (III),Baldwin  Karen Elise,102,Bradbury  Ray,Donnelly  Thomas Dean,Oyelowo  David,?
Mac and Me,Adventure,1988,Raffill  Stewart,Damon  Mark (I),Kerr  William B.,95,Feke  Steve,Raffill  Stewart,Ward  Jonathan (I),?
Mac and Me,Family,1988,Raffill  Stewart,Damon  Mark (I),Kerr  William B.,95,Feke  Steve,Raffill  Stewart,Ward  Jonathan (I),?
Mac and Me,Fantasy,1988,Raffill  Stewart,Damon  Mark (I),Kerr  William B.,95,Feke  Steve,Raffill  Stewart,Ward  Jonathan (I),?
Mac and Me,Sci-Fi,1988,Raffill  Stewart,Damon  Mark (I),Kerr  William B.,95,Feke  Steve,Raffill  Stewart,Ward  Jonathan (I),?
