title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Apeun seongsuk,Drama,1980,Park  Cheol-su,Choi  Chun-ji,?,90,Kang  Dae-ha,?,Yu  In-chon,Yun  Il-bong
Apeun seongsuk,Romance,1980,Park  Cheol-su,Choi  Chun-ji,?,90,Kang  Dae-ha,?,Yu  In-chon,Yun  Il-bong
Vigilante Force,Action,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Adventure,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Crime,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Drama,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Thriller,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Santo contra la mafia del vicio,Action,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Santo contra la mafia del vicio,Adventure,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Santo contra la mafia del vicio,Crime,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Santo contra la mafia del vicio,Drama,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Margarita se llama mi amor,Comedy,1961,Fern?ndez  Ram?n (I),Gamundi  M.E.,?,94,Escriv?  Vicente (I),Escriv?  Vicente (I),Cifariello  Antonio,Zarzo  Manuel
Margarita se llama mi amor,Romance,1961,Fern?ndez  Ram?n (I),Gamundi  M.E.,?,94,Escriv?  Vicente (I),Escriv?  Vicente (I),Cifariello  Antonio,Zarzo  Manuel
The Heroes of Telemark,Action,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
The Heroes of Telemark,Drama,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
The Heroes of Telemark,History,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
The Heroes of Telemark,War,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
Les amants criminels,Crime,1999,Ozon  Fran?ois,Delbosc  Olivier,Missonnier  Marc,96,de Van  Marina,Ozon  Fran?ois,Kechiouche  Salim,Renier  J?r?mie
Les amants criminels,Drama,1999,Ozon  Fran?ois,Delbosc  Olivier,Missonnier  Marc,96,de Van  Marina,Ozon  Fran?ois,Kechiouche  Salim,Renier  J?r?mie
Les amants criminels,Thriller,1999,Ozon  Fran?ois,Delbosc  Olivier,Missonnier  Marc,96,de Van  Marina,Ozon  Fran?ois,Kechiouche  Salim,Renier  J?r?mie
Big Zapper,Adventure,1973,Shonteff  Lindsay,Gray  Elizabeth (III),Gray  Harold Victor,92,Brody  Hugh (I),?,Hewitt  Sean (I),Hope  Gary (I)
On Golden Pond,Drama,1981,Rydell  Mark,Anderson  Craig (I),Gilbert  Bruce (I),109,Thompson  Ernest (I),Thompson  Ernest (I),Fonda  Henry,McKeon  Doug
El derecho de los pobres,Comedy,1973,Cardona  Ren? (I),Espinosa  Carlos (II),L?pez Mac?as  Alberto,95,Cardona  Ren? (I),Vaena  Mario,G?lvez  Jos?,Rambal  Enrique (I)
El derecho de los pobres,Drama,1973,Cardona  Ren? (I),Espinosa  Carlos (II),L?pez Mac?as  Alberto,95,Cardona  Ren? (I),Vaena  Mario,G?lvez  Jos?,Rambal  Enrique (I)
El derecho de los pobres,Family,1973,Cardona  Ren? (I),Espinosa  Carlos (II),L?pez Mac?as  Alberto,95,Cardona  Ren? (I),Vaena  Mario,G?lvez  Jos?,Rambal  Enrique (I)
Reservoir Dogs,Crime,1992,Tarantino  Quentin,Bender  Lawrence,Gladstein  Richard N.,99,Avary  Roger,Tarantino  Quentin,Keitel  Harvey,Madsen  Michael (I)
Reservoir Dogs,Drama,1992,Tarantino  Quentin,Bender  Lawrence,Gladstein  Richard N.,99,Avary  Roger,Tarantino  Quentin,Keitel  Harvey,Madsen  Michael (I)
Mortdecai,Action,2015,Koepp  David,Dembrowski  Christi,Depp  Johnny,107,Aronson  Eric,Bonfiglioli  Kyril,Bettany  Paul,Depp  Johnny
Mortdecai,Comedy,2015,Koepp  David,Dembrowski  Christi,Depp  Johnny,107,Aronson  Eric,Bonfiglioli  Kyril,Bettany  Paul,Depp  Johnny
Mortdecai,Mystery,2015,Koepp  David,Dembrowski  Christi,Depp  Johnny,107,Aronson  Eric,Bonfiglioli  Kyril,Bettany  Paul,Depp  Johnny
Mortdecai,Romance,2015,Koepp  David,Dembrowski  Christi,Depp  Johnny,107,Aronson  Eric,Bonfiglioli  Kyril,Bettany  Paul,Depp  Johnny
Eu,Comedy,1987,Khouri  Walter Hugo,Neto  Anibal Massaini,Sommer  Andres,123,Khouri  Walter Hugo,?,Meira  Tarc?sio,?
Eu,Drama,1987,Khouri  Walter Hugo,Neto  Anibal Massaini,Sommer  Andres,123,Khouri  Walter Hugo,?,Meira  Tarc?sio,?
Goopy Gyne Bagha Byne,Adventure,1969,Ray  Satyajit,Dutta  Asim (I),Dutta  Nepal,132,Ray  Satyajit,Raychowdhuri  Upendra Kishore,Ghosh  Robi (I),?
Goopy Gyne Bagha Byne,Comedy,1969,Ray  Satyajit,Dutta  Asim (I),Dutta  Nepal,132,Ray  Satyajit,Raychowdhuri  Upendra Kishore,Ghosh  Robi (I),?
Goopy Gyne Bagha Byne,Family,1969,Ray  Satyajit,Dutta  Asim (I),Dutta  Nepal,132,Ray  Satyajit,Raychowdhuri  Upendra Kishore,Ghosh  Robi (I),?
Goopy Gyne Bagha Byne,Fantasy,1969,Ray  Satyajit,Dutta  Asim (I),Dutta  Nepal,132,Ray  Satyajit,Raychowdhuri  Upendra Kishore,Ghosh  Robi (I),?
The Helicopter Spies,Action,1968,Sagal  Boris,Felton  Norman (I),Lehr  George,90,Hargrove  Dean,?,Dillman  Bradford,McCallum  David (I)
The Helicopter Spies,Comedy,1968,Sagal  Boris,Felton  Norman (I),Lehr  George,90,Hargrove  Dean,?,Dillman  Bradford,McCallum  David (I)
The Helicopter Spies,Crime,1968,Sagal  Boris,Felton  Norman (I),Lehr  George,90,Hargrove  Dean,?,Dillman  Bradford,McCallum  David (I)
The Helicopter Spies,Drama,1968,Sagal  Boris,Felton  Norman (I),Lehr  George,90,Hargrove  Dean,?,Dillman  Bradford,McCallum  David (I)
The Helicopter Spies,Thriller,1968,Sagal  Boris,Felton  Norman (I),Lehr  George,90,Hargrove  Dean,?,Dillman  Bradford,McCallum  David (I)
PX,Drama,1982,Brocka  Lino,Santiago  Cirio H.,?,90,Lee  Ricardo,?,Salvador  Phillip,Urso  Leonard
Good Guys Wear Black,Action,1978,Post  Ted,Bodoh  Allan F.,Cannold  Mitchell,95,Cohn  Bruce (I),Fraley  Joseph,Franciscus  James,Haynes  Lloyd
RV,Adventure,2006,Sonnenfeld  Barry,Carr  Warren (I),Cohen  Bobby (I),99,Rodkey  Geoff,?,Hutcherson  Josh,Williams  Robin (I)
RV,Comedy,2006,Sonnenfeld  Barry,Carr  Warren (I),Cohen  Bobby (I),99,Rodkey  Geoff,?,Hutcherson  Josh,Williams  Robin (I)
RV,Family,2006,Sonnenfeld  Barry,Carr  Warren (I),Cohen  Bobby (I),99,Rodkey  Geoff,?,Hutcherson  Josh,Williams  Robin (I)
Sorcerer,Adventure,1977,Friedkin  William,Friedkin  William,Smith  Bud S.,92,Arnaud  Georges (II),Green  Walon,Amidou,Cremer  Bruno
Sorcerer,Drama,1977,Friedkin  William,Friedkin  William,Smith  Bud S.,92,Arnaud  Georges (II),Green  Walon,Amidou,Cremer  Bruno
Sorcerer,Thriller,1977,Friedkin  William,Friedkin  William,Smith  Bud S.,92,Arnaud  Georges (II),Green  Walon,Amidou,Cremer  Bruno
Hitting the Cycle,Drama,2012,?,Heaton  Charlee,Holcomb  Jimmy,104,Nash  J. Richey,?,Nash  J. Richey,Schuldt  Travis
Allari Premikudu,Action,1994,Raghavendra Rao  K.,K.  Krishna Mohan Rao,?,147,Satyanand,?,Babu  Jagapathi,?
Allari Premikudu,Comedy,1994,Raghavendra Rao  K.,K.  Krishna Mohan Rao,?,147,Satyanand,?,Babu  Jagapathi,?
Allari Premikudu,Drama,1994,Raghavendra Rao  K.,K.  Krishna Mohan Rao,?,147,Satyanand,?,Babu  Jagapathi,?
Allari Premikudu,Romance,1994,Raghavendra Rao  K.,K.  Krishna Mohan Rao,?,147,Satyanand,?,Babu  Jagapathi,?
Ne touchez pas la hache,Drama,2007,Rivette  Jacques,Cicutto  Roberto,Marignac  Martine,137,Bonitzer  Pascal,de Balzac  Honor?,Depardieu  Guillaume,Piccoli  Michel
Ne touchez pas la hache,Music,2007,Rivette  Jacques,Cicutto  Roberto,Marignac  Martine,137,Bonitzer  Pascal,de Balzac  Honor?,Depardieu  Guillaume,Piccoli  Michel
Ne touchez pas la hache,Romance,2007,Rivette  Jacques,Cicutto  Roberto,Marignac  Martine,137,Bonitzer  Pascal,de Balzac  Honor?,Depardieu  Guillaume,Piccoli  Michel
The Humbling,Comedy,2014,Levinson  Barry (I),Bacardi  Monika,Dickersin  Ged,112,Henry  Buck,Roth  Philip (I),Baker  Dylan (I),Pacino  Al (I)
The Humbling,Drama,2014,Levinson  Barry (I),Bacardi  Monika,Dickersin  Ged,112,Henry  Buck,Roth  Philip (I),Baker  Dylan (I),Pacino  Al (I)
The Flight of the Phoenix,Adventure,1965,Aldrich  Robert (I),Aldrich  Robert (I),Blake  Walter (I),142,Heller  Lukas,Smith  Trevor Dudley,Attenborough  Richard,Finch  Peter (I)
The Flight of the Phoenix,Drama,1965,Aldrich  Robert (I),Aldrich  Robert (I),Blake  Walter (I),142,Heller  Lukas,Smith  Trevor Dudley,Attenborough  Richard,Finch  Peter (I)
Cattiva,Drama,1991,Lizzani  Carlo,Bregni  Mario,Bregni  Pietro,98,Archibugi  Francesca,Scarpelli  Furio,Josephson  Erland,Sands  Julian
Babyfever,Comedy,1994,?,Beauregard  Bonnie,Wolinsky  Judith,109,Foyt  Victoria,Jaglom  Henry,Roberts  Eric (I),Salinger  Matt
Babyfever,Drama,1994,?,Beauregard  Bonnie,Wolinsky  Judith,109,Foyt  Victoria,Jaglom  Henry,Roberts  Eric (I),Salinger  Matt
Clok,Drama,2015,Malone  Casey T. (I),Malone  Casey T. (I),?,7,Allen  Randy (XII),Malone  Casey T. (I),Allen  Randy (XII),Viges  Jasmine
Clok,Fantasy,2015,Malone  Casey T. (I),Malone  Casey T. (I),?,7,Allen  Randy (XII),Malone  Casey T. (I),Allen  Randy (XII),Viges  Jasmine
Clok,Mystery,2015,Malone  Casey T. (I),Malone  Casey T. (I),?,7,Allen  Randy (XII),Malone  Casey T. (I),Allen  Randy (XII),Viges  Jasmine
Clok,Short,2015,Malone  Casey T. (I),Malone  Casey T. (I),?,7,Allen  Randy (XII),Malone  Casey T. (I),Allen  Randy (XII),Viges  Jasmine
Clue,Comedy,1985,Lynn  Jonathan (I),Chernov  Jeffrey,Folsey Jr.  George,94,Landis  John (I),Lynn  Jonathan (I),Curry  Tim (I),Lloyd  Christopher (I)
Clue,Crime,1985,Lynn  Jonathan (I),Chernov  Jeffrey,Folsey Jr.  George,94,Landis  John (I),Lynn  Jonathan (I),Curry  Tim (I),Lloyd  Christopher (I)
Clue,Mystery,1985,Lynn  Jonathan (I),Chernov  Jeffrey,Folsey Jr.  George,94,Landis  John (I),Lynn  Jonathan (I),Curry  Tim (I),Lloyd  Christopher (I)
Clue,Thriller,1985,Lynn  Jonathan (I),Chernov  Jeffrey,Folsey Jr.  George,94,Landis  John (I),Lynn  Jonathan (I),Curry  Tim (I),Lloyd  Christopher (I)
Kong woo giu gap,Comedy,2000,Lam  Dante,Chan  Hing-Ka,Chen  Tiffany (I),111,Chan  Hing-Ka,Chin  Amy (I),Chan  Eason,?
Kong woo giu gap,Crime,2000,Lam  Dante,Chan  Hing-Ka,Chen  Tiffany (I),111,Chan  Hing-Ka,Chin  Amy (I),Chan  Eason,?
Sotto una buona stella,Comedy,2014,Verdone  Carlo,Amati  Maurizio,De Laurentiis Jr.  Luigi,106,Albertazzi  Maruska,Pignotta  Gabriele,Richelmy  Lorenzo,Verdone  Carlo
Pappa e ciccia,Comedy,1983,Parenti  Neri,Altissimi  Bruno,Saraceni  Claudio,92,Benvenuti  Leonardo,De Bernardi  Piero,Banfi  Lino,Santonastaso  Pippo
Kaboom,Comedy,2010,Araki  Gregg,Araki  Gregg,Caucheteux  Pascal,86,Araki  Gregg,?,Dekker  Thomas (I),Zylka  Chris
Kaboom,Mystery,2010,Araki  Gregg,Araki  Gregg,Caucheteux  Pascal,86,Araki  Gregg,?,Dekker  Thomas (I),Zylka  Chris
Kaboom,Sci-Fi,2010,Araki  Gregg,Araki  Gregg,Caucheteux  Pascal,86,Araki  Gregg,?,Dekker  Thomas (I),Zylka  Chris
Gajeong gyosa,Drama,1963,Kim  Ki-duk (I),Cha  Tae-jin,?,100,Yu  Han-chul,?,Kim  Seung-Ho (I),Shin  Sung-il
The Odessa File,Drama,1974,Neame  Ronald,Sloan  John R.,Woolf  John (I),130,Forsyth  Frederick,Markstein  George,Schell  Maximilian,Voight  Jon
The Odessa File,Thriller,1974,Neame  Ronald,Sloan  John R.,Woolf  John (I),130,Forsyth  Frederick,Markstein  George,Schell  Maximilian,Voight  Jon
Pok hoh ka fe,Drama,1982,Shin  Stephen,Shin  Stephen,?,86,Man  Hiu-Lam,?,Choi  Fung-wah,?
The Truman Show,Drama,1998,Weir  Peter (I),Feldman  Edward S.,Niccol  Andrew,103,Niccol  Andrew,?,Carrey  Jim,Emmerich  Noah
The Prime of Miss Jean Brodie,Drama,1969,Neame  Ronald,Cresson  James,Fryer  Robert,116,Presson Allen  Jay,Presson Allen  Jay,Jackson  Gordon (I),Stephens  Robert (I)
Asik Oldum,Comedy,1985,Egilmez  Ertem,Esen  Sungur,Mertoglu  Ibrahim,97,Ak?ura  G?khan,?,Sen  Sener,?
Asik Oldum,Romance,1985,Egilmez  Ertem,Esen  Sungur,Mertoglu  Ibrahim,97,Ak?ura  G?khan,?,Sen  Sener,?
Bian cheng lang zi,Action,1993,Chan  Frankie (I),Chan  Frankie (I),Hua  Zhengde,89,Chan  Frankie (I),Chou  Chen-Yung,Chan  Frankie (I),Ti  Lung
Bian cheng lang zi,Drama,1993,Chan  Frankie (I),Chan  Frankie (I),Hua  Zhengde,89,Chan  Frankie (I),Chou  Chen-Yung,Chan  Frankie (I),Ti  Lung
Bian cheng lang zi,Mystery,1993,Chan  Frankie (I),Chan  Frankie (I),Hua  Zhengde,89,Chan  Frankie (I),Chou  Chen-Yung,Chan  Frankie (I),Ti  Lung
Cobb,Biography,1994,Shelton  Ron,Davis  Kellie (I),Freud  Karin,128,Shelton  Ron,Stump  Al,Bellamy  Ned,Jones  Tommy Lee
Cobb,Drama,1994,Shelton  Ron,Davis  Kellie (I),Freud  Karin,128,Shelton  Ron,Stump  Al,Bellamy  Ned,Jones  Tommy Lee
Cobb,Sport,1994,Shelton  Ron,Davis  Kellie (I),Freud  Karin,128,Shelton  Ron,Stump  Al,Bellamy  Ned,Jones  Tommy Lee
The Witches of Eastwick,Comedy,1987,Miller  George (II),Boam  Jeffrey,Canton  Neil,118,Boam  Jeffrey,Cristofer  Michael,Nicholson  Jack (I),?
The Witches of Eastwick,Fantasy,1987,Miller  George (II),Boam  Jeffrey,Canton  Neil,118,Boam  Jeffrey,Cristofer  Michael,Nicholson  Jack (I),?
The Witches of Eastwick,Horror,1987,Miller  George (II),Boam  Jeffrey,Canton  Neil,118,Boam  Jeffrey,Cristofer  Michael,Nicholson  Jack (I),?
Rhinestone,Comedy,1984,Clark  Bob (III),Blake  Bill (I),Brubaker  James D.,111,Robinson  Phil Alden (I),Robinson  Phil Alden (I),Farnsworth  Richard,Stallone  Sylvester
Rhinestone,Music,1984,Clark  Bob (III),Blake  Bill (I),Brubaker  James D.,111,Robinson  Phil Alden (I),Robinson  Phil Alden (I),Farnsworth  Richard,Stallone  Sylvester
Return from Witch Mountain,Adventure,1978,Hough  John (I),Corcoran  Kevin (I),Courtland  Jerome,95,Key  Alexander (I),Marmorstein  Malcolm,Eisenmann  Ike,Lee  Christopher (I)
Return from Witch Mountain,Family,1978,Hough  John (I),Corcoran  Kevin (I),Courtland  Jerome,95,Key  Alexander (I),Marmorstein  Malcolm,Eisenmann  Ike,Lee  Christopher (I)
Return from Witch Mountain,Fantasy,1978,Hough  John (I),Corcoran  Kevin (I),Courtland  Jerome,95,Key  Alexander (I),Marmorstein  Malcolm,Eisenmann  Ike,Lee  Christopher (I)
Return from Witch Mountain,Sci-Fi,1978,Hough  John (I),Corcoran  Kevin (I),Courtland  Jerome,95,Key  Alexander (I),Marmorstein  Malcolm,Eisenmann  Ike,Lee  Christopher (I)
Ecce bombo,Comedy,1978,Moretti  Nanni,Gallo  Mario (II),Giulioli  Enzo,103,Moretti  Nanni,?,Galletti  Piero,Moretti  Nanni
For Richer for Poorer,Adult,1979,Damiano  Gerard,Damiano  Gerard,?,70,Damiano  Gerard,?,Astyr  Bobby,?
To meteoro vima tou pelargou,Drama,1991,Angelopoulos  Theodoros,Angelopoulos  Theodoros,Economopoulos  Phoebe,143,Angelopoulos  Theodoros,Angelopoulos  Theodoros,Logothetis  Ilias,Mastroianni  Marcello
To meteoro vima tou pelargou,Romance,1991,Angelopoulos  Theodoros,Angelopoulos  Theodoros,Economopoulos  Phoebe,143,Angelopoulos  Theodoros,Angelopoulos  Theodoros,Logothetis  Ilias,Mastroianni  Marcello
Bless This House,Comedy,1972,Thomas  Gerald (I),Burnham  Barbara,Rogers  Peter (I),87,Evans  Eynon,Freeman  Dave (I),Butterworth  Peter (I),James  Sidney (II)
Bless This House,Romance,1972,Thomas  Gerald (I),Burnham  Barbara,Rogers  Peter (I),87,Evans  Eynon,Freeman  Dave (I),Butterworth  Peter (I),James  Sidney (II)
Pyeongyang maenbal,Action,1980,Nam  Ki-nam (I),Han  Sang-hun,?,84,Lee  Il-mok,?,Lee  Ju-il,Ma  Yeong-dal
Manolesta,Comedy,1981,Festa Campanile  Pasquale,De Laurentiis  Aurelio,De Laurentiis  Luigi,95,Jemma  Ottavio,Oldoini  Enrico,Milian  Tomas,Pugliese  Armando
Dropout,Drama,1970,Brass  Tinto,Kramer  Jerry (II),Nero  Franco,109,Brass  Tinto,Lerici  Roberto,Nero  Franco,Proietti  Gigi
Dropout,Romance,1970,Brass  Tinto,Kramer  Jerry (II),Nero  Franco,109,Brass  Tinto,Lerici  Roberto,Nero  Franco,Proietti  Gigi
Natale a New York,Comedy,2006,Parenti  Neri,Amati  Maurizio,Carmichael  Katie,111,Bencivenni  Alessandro,Brizzi  Fausto,Bisio  Claudio,De Sica  Christian
Les godelureaux,Drama,1961,Chabrol  Claude,Hakim  Raymond,Hakim  Robert (I),99,Chabrol  Claude,G?gauff  Paul,Brialy  Jean-Claude,Briquet  Sacha
Gable and Lombard,Biography,1976,Furie  Sidney J.,Korshak  Harry,?,131,Sandler  Barry,?,Brolin  James,Buttons  Red
Gable and Lombard,Drama,1976,Furie  Sidney J.,Korshak  Harry,?,131,Sandler  Barry,?,Brolin  James,Buttons  Red
Gable and Lombard,Romance,1976,Furie  Sidney J.,Korshak  Harry,?,131,Sandler  Barry,?,Brolin  James,Buttons  Red
Gwilo,Drama,1967,Lee  Man-hui (I),Woo  Ki-dong,?,90,Baek  Gyeol,?,Jeon  Gye-hyeon,Kim  Jin Kyu
Shanghai bulnabi,Action,1971,Byeon  Jang-ho,Lee  Jong-byeok,?,77,Kim  Kyeong-il (I),?,Kim  Hui-ra,?
Hanggumujeong,Action,1970,Jeong  Jin-woo,Woo  Ki-dong,?,100,Ju  Dong-woon,?,Hwang  Hae,Park  No-shik (I)
Hanggumujeong,Thriller,1970,Jeong  Jin-woo,Woo  Ki-dong,?,100,Ju  Dong-woon,?,Hwang  Hae,Park  No-shik (I)
Jy is My Liefling,Adventure,1968,de Villiers  Dirk,Venter  Bill,?,98,de Villiers  Dirk,du Plessis  A.P.,Marx  Franz,Mynhardt  Siegfried
Jy is My Liefling,Music,1968,de Villiers  Dirk,Venter  Bill,?,98,de Villiers  Dirk,du Plessis  A.P.,Marx  Franz,Mynhardt  Siegfried
Jy is My Liefling,Romance,1968,de Villiers  Dirk,Venter  Bill,?,98,de Villiers  Dirk,du Plessis  A.P.,Marx  Franz,Mynhardt  Siegfried
Babo ondalgwa pyeonggang gongju,Drama,1961,Lee  Gyu-woong,Choi  Seon-tae,?,121,Han  Jang-bong,Yu  Il-su,Kim  Seung-Ho (I),Lee  Ye-chun
Carry on England,Comedy,1976,Thomas  Gerald (I),Rogers  Peter (I),?,89,Pursall  David,Seddon  Jack,Connor  Kenneth (I),Davies  Windsor
Carry on England,War,1976,Thomas  Gerald (I),Rogers  Peter (I),?,89,Pursall  David,Seddon  Jack,Connor  Kenneth (I),Davies  Windsor
Los corsarios,Action,1971,Baldi  Ferdinando,Esteban  Juli?n (II),?,102,De Urrutia  Federico,De Urrutia  Federico,de Mendoza  Alberto,Reed  Dean
Los corsarios,Adventure,1971,Baldi  Ferdinando,Esteban  Juli?n (II),?,102,De Urrutia  Federico,De Urrutia  Federico,de Mendoza  Alberto,Reed  Dean
Los corsarios,Comedy,1971,Baldi  Ferdinando,Esteban  Juli?n (II),?,102,De Urrutia  Federico,De Urrutia  Federico,de Mendoza  Alberto,Reed  Dean
Kabuto,Action,1991,Hessler  Gordon,Antic  Milos (I),Fujiyama  Ken,107,Gidding  Nelson,Gidding  Nelson,Essex  David (I),Kosugi  Kane
Kabuto,Adventure,1991,Hessler  Gordon,Antic  Milos (I),Fujiyama  Ken,107,Gidding  Nelson,Gidding  Nelson,Essex  David (I),Kosugi  Kane
Kabuto,Drama,1991,Hessler  Gordon,Antic  Milos (I),Fujiyama  Ken,107,Gidding  Nelson,Gidding  Nelson,Essex  David (I),Kosugi  Kane
Gunbeoneobtneun yongsa,Drama,1966,Lee  Man-hui (I),Kwak  Jeong-hwan (I),?,121,Han  Woo-jeong,?,Shin  Sung-il,Shin  Yeong-gyun
Kuro no tesuto kaa,Action,1962,Masumura  Yasuz?,Nakajima  Gentaro (I),?,95,Funabashi  Kazuro,Ishimatsu  Yoshihiro,Funakoshi  Eiji,Takamatsu  Hideo
Kuro no tesuto kaa,Crime,1962,Masumura  Yasuz?,Nakajima  Gentaro (I),?,95,Funabashi  Kazuro,Ishimatsu  Yoshihiro,Funakoshi  Eiji,Takamatsu  Hideo
Kuro no tesuto kaa,Drama,1962,Masumura  Yasuz?,Nakajima  Gentaro (I),?,95,Funabashi  Kazuro,Ishimatsu  Yoshihiro,Funakoshi  Eiji,Takamatsu  Hideo
Kuro no tesuto kaa,Mystery,1962,Masumura  Yasuz?,Nakajima  Gentaro (I),?,95,Funabashi  Kazuro,Ishimatsu  Yoshihiro,Funakoshi  Eiji,Takamatsu  Hideo
Kuro no tesuto kaa,Thriller,1962,Masumura  Yasuz?,Nakajima  Gentaro (I),?,95,Funabashi  Kazuro,Ishimatsu  Yoshihiro,Funakoshi  Eiji,Takamatsu  Hideo
Buena Vista Social Club,Documentary,1999,Wenders  Wim,Bosch  Rosa (III),Felsberg  Ulrich,105,Gold  Nick (I),Wenders  Wim,Cooder  Joachim,Cooder  Ry
Buena Vista Social Club,Music,1999,Wenders  Wim,Bosch  Rosa (III),Felsberg  Ulrich,105,Gold  Nick (I),Wenders  Wim,Cooder  Joachim,Cooder  Ry
Sanai segye,Crime,1969,Ko  Young Nam (I),Kwak  Jeong-hwan (I),?,100,Lee  Du-hyeong,?,Hwang  Seung-jin,Park  No-shik (I)
Sanai segye,Drama,1969,Ko  Young Nam (I),Kwak  Jeong-hwan (I),?,100,Lee  Du-hyeong,?,Hwang  Seung-jin,Park  No-shik (I)
Jefferson in Paris,Biography,1995,Ivory  James,Balsan  Humbert,Bradley  Paul (III),139,Prawer Jhabvala  Ruth,?,Nolte  Nick,?
Jefferson in Paris,Drama,1995,Ivory  James,Balsan  Humbert,Bradley  Paul (III),139,Prawer Jhabvala  Ruth,?,Nolte  Nick,?
Jefferson in Paris,History,1995,Ivory  James,Balsan  Humbert,Bradley  Paul (III),139,Prawer Jhabvala  Ruth,?,Nolte  Nick,?
Jefferson in Paris,Romance,1995,Ivory  James,Balsan  Humbert,Bradley  Paul (III),139,Prawer Jhabvala  Ruth,?,Nolte  Nick,?
Chanoc contra el tigre y el vampiro,Action,1972,Mart?nez Solares  Gilberto,P?rez Grovas  Rafael,?,85,Mart?nez Solares  Ra?l (I),P?rez Grovas  Rafael,Casal  Gregorio,Vald?s  Germ?n
Chanoc contra el tigre y el vampiro,Adventure,1972,Mart?nez Solares  Gilberto,P?rez Grovas  Rafael,?,85,Mart?nez Solares  Ra?l (I),P?rez Grovas  Rafael,Casal  Gregorio,Vald?s  Germ?n
Chanoc contra el tigre y el vampiro,Horror,1972,Mart?nez Solares  Gilberto,P?rez Grovas  Rafael,?,85,Mart?nez Solares  Ra?l (I),P?rez Grovas  Rafael,Casal  Gregorio,Vald?s  Germ?n
Jajeong ihu,Crime,1991,Kim  In Soo (I),Baek  Beom-jin,?,102,Eo  Yun-cheong,Kim  Ho-seob,Ko  Hyeon-jae,Lee  Je-rak
Jajeong ihu,Mystery,1991,Kim  In Soo (I),Baek  Beom-jin,?,102,Eo  Yun-cheong,Kim  Ho-seob,Ko  Hyeon-jae,Lee  Je-rak
Jajeong ihu,Romance,1991,Kim  In Soo (I),Baek  Beom-jin,?,102,Eo  Yun-cheong,Kim  Ho-seob,Ko  Hyeon-jae,Lee  Je-rak
The Girl King,Biography,2015,Kaurism?ki  Mika,Bleser  Wasiliki,Gelbart  Arnie,106,Bouchard  Michel Marc,?,Bryant  Lucas (I),Nyqvist  Michael
The Girl King,Drama,2015,Kaurism?ki  Mika,Bleser  Wasiliki,Gelbart  Arnie,106,Bouchard  Michel Marc,?,Bryant  Lucas (I),Nyqvist  Michael
The Girl King,Romance,2015,Kaurism?ki  Mika,Bleser  Wasiliki,Gelbart  Arnie,106,Bouchard  Michel Marc,?,Bryant  Lucas (I),Nyqvist  Michael
Rak ti Khon Kaen,Drama,2015,Weerasethakul  Apichatpong,Bakar  Najwa Abu,Barnes  Joslyn,122,Weerasethakul  Apichatpong,?,Chaiburi  Petcharat,Lomnoi  Banlop
Soursweet,Drama,1988,Newell  Mike (I),Randall-Cutler  Roger,?,110,McEwan  Ian (I),Mo  Timothy,Oh  Soon-Tek,?
Lone Wolf McQuade,Action,1983,Carver  Steve (I),Ben-Ami  Yoram,Carver  Steve (I),107,Dyal  H. Kaye,Nelson  B.J.,Carradine  David,Kennedy  Leon Isaac
Lone Wolf McQuade,Crime,1983,Carver  Steve (I),Ben-Ami  Yoram,Carver  Steve (I),107,Dyal  H. Kaye,Nelson  B.J.,Carradine  David,Kennedy  Leon Isaac
