movie_id,title,genre0,genre1,year,cast0,cast1,director,writer,runtime,kind,distributors,languages,countries,rating,producer
780504,Drive,Crime,Drama,2011,Ryan Gosling,Carey Mulligan,Nicolas Winding Refn,Hossein Amini,100,movie,Must KÌ_si,English,USA,7.8,Frank Capra III
1596343,Fast Five,Action,Crime,2011,Vin Diesel,Paul Walker,Justin Lin,Chris Morgan,131,movie,Universal Pictures,English,USA,7.3,Vin Diesel
1201607,Harry Potter and the Deathly Hallows: Part 2,Adventure,Drama,2011,Ralph Fiennes,Michael Gambon,David Yates,Steve Kloves,130,movie,AcmeFilm,English,USA,8.1,David Barron
1219289,Limitless,Mystery,Sci-Fi,2011,Bradley Cooper,Robert De Niro,Neil Burger,Leslie Dixon,105,movie,A-Film Distribution,English,USA,7.4,Bradley Cooper
1298650,Pirates of the Caribbean: On Stranger Tides,Action,Adventure,2011,Johnny Depp,PenÌ©lope Cruz,Rob Marshall,Ted Elliott,136,movie,Feelgood Entertainment,English,USA,6.7,Jerry Bruckheimer
1270798,X-Men: First Class,Action,Adventure,2011,James McAvoy,Laurence Belcher,Matthew Vaughn,Ashley Miller,132,movie,Fox Filmes do Brasil,English,USA,7.8,Tom Cohen
1568346,The Girl with the Dragon Tattoo,Crime,Drama,2011,Daniel Craig,Rooney Mara,David Fincher,Steven Zaillian,158,movie,Acme Film,English,USA,7.8,Meret Burger
1454029,The Help,Drama,Drama,2011,Emma Stone,Viola Davis,Tate Taylor,Tate Taylor,146,movie,Touchstone Pictures,English,USA,8.1,Mohamed Khalaf Al-Mazrouei
1637688,In Time,Action,Sci-Fi,2011,Justin Timberlake,Olivia Wilde,Andrew Niccol,Andrew Niccol,109,movie,20th Century Fox Netherlands,English,USA,6.7,Marc Abraham
1232829,21 Jump Street,Action,Comedy,2012,Jonah Hill,Channing Tatum,Phil Lord,Michael Bacall,109,movie,AcmeFilm,English,USA,7.2,Stephen J. Cannell
948470,The Amazing Spider-Man,Action,Adventure,2012,Andrew Garfield,Emma Stone,Marc Webb,James Vanderbilt,136,movie,Andes Films,English,USA,7.1,Avi Arad
1605630,American Reunion,Comedy,Comedy,2012,Jason Biggs,Alyson Hannigan,Jon Hurwitz,Jon Hurwitz,113,movie,B&H Film Distribution,English,USA,6.8,Jason Biggs
848228,The Avengers,Action,Adventure,2012,Robert Downey Jr.,Chris Evans,Joss Whedon,Joss Whedon,143,movie,B&H Film Distribution,English,USA,8.1,Victoria Alonso
1440129,Battleship,Action,Adventure,2012,Taylor Kitsch,Alexander SkarsgÌ´rd,Peter Berg,Jon Hoeber,131,movie,B&H Film Distribution,English,USA,5.9,Braden Aftergood
1194173,The Bourne Legacy,Action,Adventure,2012,Jeremy Renner,Scott Glenn,Tony Gilroy,Tony Gilroy,135,movie,B&H Film Distribution,English,USA,6.7,Patrick Crowley
1217209,Brave,Animation,Adventure,2012,Kelly Macdonald,Billy Connolly,Mark Andrews,Brenda Chapman,93,movie,Walt Disney Studios Motion Pictures,English,USA,7.2,Pete Docter
1259521,The Cabin in the Woods,Horror,Mystery,2012,Kristen Connolly,Chris Hemsworth,Drew Goddard,Joss Whedon,95,movie,AcmeFilm,English,USA,7,Jason Clark
1790886,The Campaign,Comedy,Comedy,2012,Will Ferrell,Zach Galifianakis,Jay Roach,Chris Henchy,85,movie,20th Century Fox,English,USA,6.2,Will Ferrell
1371111,Cloud Atlas,Drama,Sci-Fi,2012,Tom Hanks,Halle Berry,Tom Tykwer,David Mitchell,172,movie,A Company Czech,English,Germany,7.5,Stefan Arndt
1345836,The Dark Knight Rises,Action,Thriller,2012,Christian Bale,Gary Oldman,Christopher Nolan,Jonathan Nolan,164,movie,20th Century Fox,English,USA,8.5,Kevin De La Noy
1077368,Dark Shadows,Comedy,Horror,2012,Johnny Depp,Michelle Pfeiffer,Tim Burton,Seth Grahame-Smith,113,movie,Columbia TriStar Warner Filmes de Portugal,English,USA,6.2,Bruce Berman
1853728,Django Unchained,Western,Western,2012,Jamie Foxx,Christoph Waltz,Quentin Tarantino,Quentin Tarantino,165,movie,Alliance Films,English,USA,8.5,William Paul Clark
1343727,Dredd,Action,Sci-Fi,2012,Karl Urban,Rachel Wood,Pete Travis,John Wagner,95,movie,Alfa Films,English,UK,7,Michael Elson
1855199,End of Watch,Crime,Drama,2012,Jake Gyllenhaal,Michael PeÌ±a,David Ayer,David Ayer,109,movie,Distribution Company,English,USA,7.7,Tobin Armbrust
1764651,The Expendables 2,Action,Adventure,2012,Sylvester Stallone,Jason Statham,Simon West,Richard Wenk,103,movie,Nu Image / Millennium Films,English,USA,6.7,Guymon Casady
1907668,Flight,Drama,Thriller,2012,Nadine Velazquez,Denzel Washington,Robert Zemeckis,John Gatins,138,movie,B&H Film Distribution,English,USA,7.3,Heather Kelton
1694020,The Guilt Trip,Comedy,Drama,2012,Barbra Streisand,Seth Rogen,Anne Fletcher,Dan Fogelman,95,movie,Paramount Pictures Entertainment,English,USA,5.8,David Ellison
1648179,Here Comes the Boom,Action,Comedy,2012,Kevin James,Salma Hayek,Frank Coraci,Allan Loeb,105,movie,Andes Films,English,USA,6.5,Marty P. Ewing
903624,The Hobbit: An Unexpected Journey,Adventure,Fantasy,2012,Ian McKellen,Martin Freeman,Peter Jackson,Fran Walsh,169,movie,Cuvision,English,USA,7.9,Carolyn Blackwood
837562,Hotel Transylvania,Animation,Comedy,2012,Adam Sandler,Andy Samberg,Genndy Tartakovsky,Peter Baynham,91,movie,Andes Films,English,USA,7.1,Lydia Bottegoni
790724,Jack Reacher,Action,Crime,2012,Tom Cruise,Rosamund Pike,Christopher McQuarrie,Lee Child,130,movie,Paramount Pictures,English,USA,7,Tom Cruise
401729,John Carter,Action,Adventure,2012,Taylor Kitsch,Lynn Collins,Andrew Stanton,Andrew Stanton,132,movie,Walt Disney Studios Motion Pictures,English,USA,6.6,Lindsey Collins
1764234,Killing Them Softly,Crime,Thriller,2012,Brad Pitt,Scoot McNairy,Andrew Dominik,Andrew Dominik,97,movie,Alfa Films,English,USA,6.2,Matthew Budman
1212450,Lawless,Crime,Drama,2012,Shia LaBeouf,Tom Hardy,John Hillcoat,Nick Cave,116,movie,FilmNation Entertainment,English,USA,7.3,John Allen
454876,Life of Pi,Adventure,Drama,2012,Suraj Sharma,Irrfan Khan,Ang Lee,Yann Martel,127,movie,20th Century Fox Netherlands,English,USA,8,Kevin Richard Buxbaum
1276104,Looper,Action,Crime,2012,Joseph Gordon-Levitt,Bruce Willis,Rian Johnson,Rian Johnson,119,movie,Alliance Films,English,USA,7.5,Ram Bergman
1915581,Magic Mike,Comedy,Drama,2012,Matthew McConaughey,Channing Tatum,Steven Soderbergh,Reid Carolin,110,movie,A-Film Distribution,English,USA,6.1,Reid Carolin
1568338,Man on a Ledge,Action,Crime,2012,Sam Worthington,Mandy Gonzalez,Asger Leth,Pablo F. Fenjves,102,movie,Alfa Films,English,USA,6.6,Lorenzo di Bonaventura
1258972,The Man with the Iron Fists,Action,Action,2012,RZA,Rick Yune,RZA,RZA,95,movie,Strike Entertainment,English,USA,5.4,Marc Abraham
1560747,The Master,Drama,Drama,2012,Joaquin Phoenix,Price Carson,Paul Thomas Anderson,Paul Thomas Anderson,144,movie,A-Film Distribution,English,USA,7.1,Paul Thomas Anderson
